OrderId,UserId,ProductIds
101,19,"[113, 104, 83]"
102,23,[12]
103,18,"[109, 41]"
104,4,[110]
105,29,"[118, 122, 70]"
106,29,"[104, 12, 82, 108, 22]"
107,18,[117]
108,29,[105]
109,14,"[99, 5, 114]"
110,23,"[70, 114, 126, 12, 118]"
111,21,"[61, 114, 84, 70, 83]"
112,20,"[13, 22, 84, 114, 82]"
113,13,"[108, 61, 83, 107, 125]"
114,2,"[51, 30, 99]"
115,22,"[100, 115, 30, 104]"
116,32,"[114, 10]"
117,20,"[114, 112, 111, 71, 10]"
118,17,"[31, 123, 22]"
119,11,[3]
120,17,"[111, 126, 121, 5]"
121,31,"[128, 112, 108, 22]"
122,26,"[83, 40, 14, 113]"
123,2,[121]
124,29,"[21, 123]"
125,31,[107]
126,17,[101]
127,10,"[114, 105, 107, 110]"
128,22,"[111, 124, 118, 104]"
129,29,"[100, 20, 119, 127, 102]"
130,30,"[120, 40, 125]"
131,19,"[103, 112, 40, 50, 100]"
132,6,"[40, 50, 71]"
133,22,"[10, 13, 14, 31, 82]"
134,11,"[5, 84]"
135,28,"[106, 101, 84]"
136,5,"[125, 84]"
137,26,"[116, 2, 126, 128, 120]"
138,26,"[1, 80, 61, 120]"
139,26,"[106, 119, 123, 110]"
140,16,"[31, 50, 99, 103]"
141,3,"[71, 114, 115, 123]"
142,27,"[125, 101]"
143,10,"[106, 2, 83, 109, 108]"
144,3,[113]
145,29,"[127, 101]"
146,13,[41]
147,26,"[30, 101, 70]"
148,23,"[50, 120, 125, 84]"
149,18,[102]
150,3,"[4, 80, 31, 113, 5]"
151,4,[40]
152,14,[111]
153,11,"[13, 102]"
154,9,"[30, 101, 116, 41, 121]"
155,25,"[110, 119]"
156,9,"[61, 11]"
157,3,"[108, 115, 82]"
158,27,"[5, 109]"
159,17,[116]
160,21,"[123, 12, 122, 108, 3]"
161,24,"[99, 114, 81, 5, 104]"
162,23,[126]
163,28,"[11, 99, 81, 112]"
164,31,"[99, 21]"
165,19,"[123, 106, 121, 102, 101]"
166,29,"[50, 70, 126, 40, 125]"
167,7,"[128, 100, 40]"
168,31,"[111, 114, 82, 71, 2]"
169,33,"[21, 103, 30]"
170,24,"[71, 50, 128]"
171,19,"[1, 105, 22, 10, 40]"
172,28,"[107, 120, 40, 116]"
173,32,"[100, 122, 2, 10]"
174,20,"[83, 116]"
175,17,"[114, 109, 81]"
176,32,"[105, 80, 99, 119, 107]"
177,23,"[116, 101, 50]"
178,21,"[31, 12, 118]"
179,14,"[12, 119, 106]"
180,13,"[30, 119]"
181,32,"[118, 109, 120]"
182,20,[125]
183,14,"[31, 81, 21]"
184,21,[117]
185,10,"[3, 4, 107]"
186,20,"[112, 127]"
187,33,[127]
188,2,"[51, 102, 100, 71, 21]"
189,5,"[127, 102, 12]"
190,6,"[103, 5, 108, 112]"
191,5,"[14, 123]"
192,21,[40]
193,9,"[120, 84, 110, 122, 111]"
194,16,"[82, 100, 61, 127, 109]"
195,29,"[108, 111, 4]"
196,8,"[112, 30]"
197,18,[20]
198,17,"[107, 5]"
199,12,[84]
200,30,"[102, 51, 3, 31, 117]"
