product_id,category,tier,base_performance,base_value,base_portability,base_durability,legacy_product_id
5118,Convertible,High-end,2,3,5,2,C028
5119,Convertible,High-end,2,4,4,3,C029
5120,Convertible,High-end,3,4,5,2,C037
5121,Convertible,High-end,2,3,5,4,C042
5122,Convertible,High-end,3,3,5,2,C048
5123,Convertible,High-end,2,2,5,3,C052
5124,Convertible,High-end,4,4,5,2,C053
5125,Convertible,High-end,4,4,4,3,C056
5126,Convertible,High-end,2,3,3,4,C058
5127,Convertible,High-end,3,2,5,2,C059
5128,Convertible,High-end,4,3,5,3,C060
5129,Convertible,High-end,2,4,4,3,C065
5130,Convertible,High-end,3,4,4,2,C070
5131,Convertible,High-end,2,2,4,4,C072
5132,Convertible,High-end,2,3,3,3,C074
5133,Convertible,High-end,4,3,5,4,C075
5134,Convertible,High-end,3,3,5,3,C079
5135,Convertible,High-end,3,4,3,3,C085
5136,Convertible,High-end,3,3,5,3,C090
5137,Convertible,High-end,3,4,3,3,C091
5138,Convertible,Mid-range,3,4,5,4,C001
5139,Convertible,Mid-range,3,4,5,4,C002
5140,Convertible,Mid-range,3,4,5,4,C003
5141,Convertible,Mid-range,3,4,5,4,C004
5142,Convertible,Mid-range,3,4,5,4,C005
5143,Convertible,Mid-range,3,4,5,4,C006
5144,Convertible,Mid-range,3,4,5,4,C007
5145,Convertible,Mid-range,3,4,5,4,C008
5146,Convertible,Mid-range,3,4,5,4,C009
5147,Convertible,Mid-range,3,4,5,4,C010
5148,Convertible,Mid-range,4,3,5,3,C022
5149,Convertible,Mid-range,4,4,5,4,C024
5150,Convertible,Mid-range,3,3,4,4,C030
5151,Convertible,Mid-range,4,4,3,2,C031
5152,Convertible,Mid-range,4,3,3,3,C032
5153,Convertible,Mid-range,4,2,4,4,C033
5154,Convertible,Mid-range,4,4,4,2,C034
5155,Convertible,Mid-range,3,2,5,3,C035
5156,Convertible,Mid-range,2,3,5,2,C036
5157,Convertible,Mid-range,2,4,3,3,C038
5158,Convertible,Mid-range,3,2,4,3,C039
5159,Convertible,Mid-range,4,4,5,3,C040
5160,Convertible,Mid-range,3,3,5,3,C041
5161,Convertible,Mid-range,3,4,4,4,C043
5162,Convertible,Mid-range,2,2,5,2,C044
5163,Convertible,Mid-range,3,3,5,4,C045
5164,Convertible,Mid-range,3,4,5,2,C046
5165,Convertible,Mid-range,4,2,4,2,C047
5166,Convertible,Mid-range,2,3,5,2,C049
5167,Convertible,Mid-range,3,2,4,4,C050
5168,Convertible,Mid-range,3,4,3,2,C051
5169,Convertible,Mid-range,4,4,4,2,C054
5170,Convertible,Mid-range,3,3,4,3,C055
5171,Convertible,Mid-range,2,4,3,4,C057
5172,Convertible,Mid-range,4,4,3,3,C061
5173,Convertible,Mid-range,3,2,3,3,C062
5174,Convertible,Mid-range,4,4,5,4,C063
5175,Convertible,Mid-range,2,4,5,4,C064
5176,Convertible,Mid-range,2,2,3,4,C066
5177,Convertible,Mid-range,2,3,5,3,C067
5178,Convertible,Mid-range,4,4,3,2,C068
5179,Convertible,Mid-range,4,2,3,4,C069
5180,Convertible,Mid-range,4,2,5,3,C071
5181,Convertible,Mid-range,2,4,3,4,C073
5182,Convertible,Mid-range,2,4,5,3,C076
5183,Convertible,Mid-range,2,4,3,3,C077
5184,Convertible,Mid-range,3,3,3,4,C078
5185,Convertible,Mid-range,3,2,3,2,C080
5186,Convertible,Mid-range,3,4,3,4,C081
5187,Convertible,Mid-range,3,2,4,3,C082
5188,Convertible,Mid-range,2,3,5,4,C083
5189,Convertible,Mid-range,2,2,4,2,C084
5190,Convertible,Mid-range,2,3,3,2,C086
5191,Convertible,Mid-range,3,2,4,3,C087
5192,Convertible,Mid-range,3,3,5,2,C088
5193,Convertible,Mid-range,2,4,3,3,C089
5194,Gaming,High-end,5,4,2,4,G011
5195,Gaming,High-end,5,4,2,4,G012
5196,Gaming,High-end,5,4,2,4,G013
5197,Gaming,High-end,5,4,2,4,G014
5198,Gaming,High-end,5,4,2,4,G015
5199,Gaming,High-end,5,4,2,4,G016
5200,Gaming,High-end,5,4,2,4,G017
5201,Gaming,High-end,5,4,2,4,G018
5202,Gaming,High-end,5,4,2,4,G019
5203,Gaming,High-end,5,4,2,4,G020
5204,Gaming,High-end,5,5,2,2,G022
5205,Gaming,High-end,4,5,1,3,G031
5206,Gaming,High-end,5,4,2,2,G039
5207,Gaming,High-end,5,4,1,4,G045
5208,Gaming,High-end,5,3,1,4,G047
5209,Gaming,High-end,4,3,1,3,G050
5210,Gaming,High-end,5,3,1,2,G052
5211,Gaming,High-end,4,4,2,3,G056
5212,Gaming,High-end,4,3,2,2,G062
5213,Gaming,High-end,4,3,2,4,G073
5214,Gaming,High-end,5,4,2,4,G079
5215,Gaming,High-end,5,4,1,2,G080
5216,Gaming,High-end,5,5,1,3,G085
5217,Gaming,High-end,5,4,1,3,G087
5218,Gaming,High-end,5,3,2,4,G089
5219,Gaming,High-end,5,5,2,4,G090
5220,Gaming,High-end,5,5,1,2,G093
5221,Gaming,High-end,5,3,1,2,G096
5222,Gaming,High-end,5,3,2,2,G097
5223,Gaming,High-end,5,4,1,3,G102
5224,Gaming,Mid-range,5,5,2,3,G001
5225,Gaming,Mid-range,5,5,2,3,G002
5226,Gaming,Mid-range,5,5,2,3,G003
5227,Gaming,Mid-range,5,5,2,3,G004
5228,Gaming,Mid-range,5,5,2,3,G005
5229,Gaming,Mid-range,5,5,2,3,G006
5230,Gaming,Mid-range,5,5,2,3,G007
5231,Gaming,Mid-range,5,5,2,3,G008
5232,Gaming,Mid-range,5,5,2,3,G009
5233,Gaming,Mid-range,5,5,2,3,G010
5234,Gaming,Mid-range,5,4,1,2,G021
5235,Gaming,Mid-range,5,3,1,3,G023
5236,Gaming,Mid-range,5,5,1,2,G024
5237,Gaming,Mid-range,5,3,1,4,G025
5238,Gaming,Mid-range,5,5,2,4,G026
5239,Gaming,Mid-range,5,4,1,4,G027
5240,Gaming,Mid-range,5,4,1,2,G028
5241,Gaming,Mid-range,4,3,1,2,G029
5242,Gaming,Mid-range,5,4,1,3,G030
5243,Gaming,Mid-range,5,3,2,2,G032
5244,Gaming,Mid-range,5,5,2,4,G033
5245,Gaming,Mid-range,5,5,1,4,G034
5246,Gaming,Mid-range,4,3,1,2,G035
5247,Gaming,Mid-range,4,4,1,3,G036
5248,Gaming,Mid-range,5,5,2,3,G037
5249,Gaming,Mid-range,4,4,1,4,G038
5250,Gaming,Mid-range,5,5,1,2,G040
5251,Gaming,Mid-range,5,5,1,4,G041
5252,Gaming,Mid-range,5,3,1,3,G042
5253,Gaming,Mid-range,5,5,1,3,G043
5254,Gaming,Mid-range,5,5,1,2,G044
5255,Gaming,Mid-range,5,5,1,2,G046
5256,Gaming,Mid-range,5,5,2,3,G048
5257,Gaming,Mid-range,5,4,1,4,G049
5258,Gaming,Mid-range,5,4,1,2,G051
5259,Gaming,Mid-range,5,3,1,2,G053
5260,Gaming,Mid-range,4,4,1,4,G054
5261,Gaming,Mid-range,4,3,1,2,G055
5262,Gaming,Mid-range,5,4,1,4,G057
5263,Gaming,Mid-range,4,4,1,2,G058
5264,Gaming,Mid-range,5,5,1,3,G059
5265,Gaming,Mid-range,5,3,1,2,G060
5266,Gaming,Mid-range,4,3,2,2,G061
5267,Gaming,Mid-range,5,3,2,2,G063
5268,Gaming,Mid-range,5,5,2,2,G064
5269,Gaming,Mid-range,4,5,1,3,G065
5270,Gaming,Mid-range,4,4,2,4,G066
5271,Gaming,Mid-range,4,5,1,2,G067
5272,Gaming,Mid-range,5,5,1,2,G068
5273,Gaming,Mid-range,4,5,2,3,G069
5274,Gaming,Mid-range,4,3,1,3,G070
5275,Gaming,Mid-range,4,3,2,2,G071
5276,Gaming,Mid-range,4,4,2,4,G072
5277,Gaming,Mid-range,5,3,2,3,G074
5278,Gaming,Mid-range,4,4,1,4,G075
5279,Gaming,Mid-range,5,5,1,4,G076
5280,Gaming,Mid-range,5,3,1,4,G077
5281,Gaming,Mid-range,5,5,1,2,G078
5282,Gaming,Mid-range,5,5,1,4,G081
5283,Gaming,Mid-range,5,3,1,4,G082
5284,Gaming,Mid-range,5,4,1,3,G083
5285,Gaming,Mid-range,4,5,1,4,G084
5286,Gaming,Mid-range,5,3,1,2,G086
5287,Gaming,Mid-range,5,5,1,4,G088
5288,Gaming,Mid-range,5,4,1,2,G091
5289,Gaming,Mid-range,4,4,1,3,G092
5290,Gaming,Mid-range,4,3,1,3,G094
5291,Gaming,Mid-range,5,4,2,4,G095
5292,Gaming,Mid-range,5,5,1,3,G098
5293,Gaming,Mid-range,5,4,1,3,G099
5294,Gaming,Mid-range,4,5,2,3,G100
5295,Gaming,Mid-range,5,5,2,2,G101
5296,Gaming,Mid-range,4,4,1,3,G103
5297,Ultrabook,High-end,4,3,4,4,U011
5298,Ultrabook,High-end,4,3,4,4,U012
5299,Ultrabook,High-end,4,3,4,4,U013
5300,Ultrabook,High-end,4,3,4,4,U014
5301,Ultrabook,High-end,4,3,4,4,U015
5302,Ultrabook,High-end,4,3,4,4,U016
5303,Ultrabook,High-end,4,3,4,4,U017
5304,Ultrabook,High-end,4,3,4,4,U018
5305,Ultrabook,High-end,4,3,4,4,U019
5306,Ultrabook,High-end,4,3,4,4,U020
5307,Ultrabook,High-end,4,4,3,2,U026
5308,Ultrabook,High-end,4,3,3,3,U030
5309,Ultrabook,High-end,4,4,3,2,U032
5310,Ultrabook,High-end,3,4,3,2,U036
5311,Ultrabook,High-end,4,2,3,4,U037
5312,Ultrabook,High-end,2,4,2,3,U039
5313,Ultrabook,High-end,2,4,3,2,U045
5314,Ultrabook,High-end,4,4,2,4,U048
5315,Ultrabook,High-end,2,4,3,3,U049
5316,Ultrabook,High-end,2,4,3,2,U051
5317,Ultrabook,High-end,4,4,3,3,U059
5318,Ultrabook,High-end,2,4,3,4,U060
5319,Ultrabook,High-end,2,4,3,4,U061
5320,Ultrabook,High-end,4,3,2,4,U065
5321,Ultrabook,High-end,4,2,3,3,U069
5322,Ultrabook,High-end,2,2,3,3,U071
5323,Ultrabook,High-end,4,2,2,2,U075
5324,Ultrabook,High-end,3,4,3,4,U077
5325,Ultrabook,High-end,2,4,3,4,U081
5326,Ultrabook,High-end,3,4,3,4,U084
5327,Ultrabook,High-end,3,2,3,2,U086
5328,Ultrabook,High-end,3,4,3,2,U088
5329,Ultrabook,High-end,4,3,3,4,U094
5330,Ultrabook,High-end,2,3,3,4,U097
5331,Ultrabook,High-end,4,4,3,2,U098
5332,Ultrabook,High-end,2,4,2,2,U099
5333,Ultrabook,High-end,2,4,3,4,U100
5334,Ultrabook,High-end,4,3,3,3,U103
5335,Ultrabook,Mid-range,3,4,4,3,U001
5336,Ultrabook,Mid-range,3,4,4,3,U002
5337,Ultrabook,Mid-range,3,4,4,3,U003
5338,Ultrabook,Mid-range,3,4,4,3,U004
5339,Ultrabook,Mid-range,3,4,4,3,U005
5340,Ultrabook,Mid-range,3,4,4,3,U006
5341,Ultrabook,Mid-range,3,4,4,3,U007
5342,Ultrabook,Mid-range,3,4,4,3,U008
5343,Ultrabook,Mid-range,3,4,4,3,U009
5344,Ultrabook,Mid-range,3,4,4,3,U010
5345,Ultrabook,Mid-range,3,3,2,4,U021
5346,Ultrabook,Mid-range,4,4,2,2,U022
5347,Ultrabook,Mid-range,2,2,3,4,U023
5348,Ultrabook,Mid-range,4,3,3,2,U024
5349,Ultrabook,Mid-range,3,3,3,3,U025
5350,Ultrabook,Mid-range,4,4,3,2,U027
5351,Ultrabook,Mid-range,3,2,2,3,U028
5352,Ultrabook,Mid-range,4,3,3,2,U029
5353,Ultrabook,Mid-range,4,4,2,3,U031
5354,Ultrabook,Mid-range,4,3,2,4,U033
5355,Ultrabook,Mid-range,3,4,2,2,U034
5356,Ultrabook,Mid-range,4,4,2,3,U035
5357,Ultrabook,Mid-range,4,2,2,3,U038
5358,Ultrabook,Mid-range,4,4,3,2,U040
5359,Ultrabook,Mid-range,3,2,3,3,U041
5360,Ultrabook,Mid-range,3,4,2,2,U042
5361,Ultrabook,Mid-range,4,3,3,4,U043
5362,Ultrabook,Mid-range,4,3,3,2,U044
5363,Ultrabook,Mid-range,4,2,3,2,U046
5364,Ultrabook,Mid-range,2,4,2,2,U047
5365,Ultrabook,Mid-range,4,4,2,2,U050
5366,Ultrabook,Mid-range,2,4,2,2,U052
5367,Ultrabook,Mid-range,3,2,3,3,U053
5368,Ultrabook,Mid-range,4,2,3,2,U054
5369,Ultrabook,Mid-range,2,4,3,3,U055
5370,Ultrabook,Mid-range,2,2,3,3,U056
5371,Ultrabook,Mid-range,4,4,3,2,U057
5372,Ultrabook,Mid-range,3,2,2,4,U058
5373,Ultrabook,Mid-range,2,2,2,3,U062
5374,Ultrabook,Mid-range,2,3,3,4,U063
5375,Ultrabook,Mid-range,2,3,2,3,U064
5376,Ultrabook,Mid-range,2,2,2,4,U066
5377,Ultrabook,Mid-range,4,2,2,3,U067
5378,Ultrabook,Mid-range,2,3,3,2,U068
5379,Ultrabook,Mid-range,3,2,3,3,U070
5380,Ultrabook,Mid-range,4,4,2,2,U072
5381,Ultrabook,Mid-range,2,3,3,4,U073
5382,Ultrabook,Mid-range,4,4,3,2,U074
5383,Ultrabook,Mid-range,4,3,3,3,U076
5384,Ultrabook,Mid-range,2,2,2,4,U078
5385,Ultrabook,Mid-range,2,3,3,4,U079
5386,Ultrabook,Mid-range,3,4,3,4,U080
5387,Ultrabook,Mid-range,4,2,2,4,U082
5388,Ultrabook,Mid-range,2,4,3,2,U083
5389,Ultrabook,Mid-range,4,4,3,3,U085
5390,Ultrabook,Mid-range,2,4,3,3,U087
5391,Ultrabook,Mid-range,3,4,3,3,U089
5392,Ultrabook,Mid-range,4,2,3,2,U090
5393,Ultrabook,Mid-range,2,4,2,2,U091
5394,Ultrabook,Mid-range,3,3,2,3,U092
5395,Ultrabook,Mid-range,3,2,3,3,U093
5396,Ultrabook,Mid-range,2,4,3,4,U095
5397,Ultrabook,Mid-range,2,4,3,4,U096
5398,Ultrabook,Mid-range,3,4,3,3,U101
5399,Ultrabook,Mid-range,2,3,3,2,U102
5400,Ultrabook,Mid-range,4,4,3,4,U104
5401,Ultrabook,Mid-range,2,4,2,4,U105
5402,Ultrabook,Mid-range,4,4,3,3,U106
5403,Workstation,High-end,5,3,1,5,W011
5404,Workstation,High-end,5,3,1,5,W012
5405,Workstation,High-end,5,3,1,5,W013
5406,Workstation,High-end,5,3,1,5,W014
5407,Workstation,High-end,5,3,1,5,W015
5408,Workstation,High-end,5,3,1,5,W016
5409,Workstation,High-end,5,3,1,5,W017
5410,Workstation,High-end,5,3,1,5,W018
5411,Workstation,High-end,5,3,1,5,W019
5412,Workstation,High-end,5,3,1,5,W020
5413,Workstation,High-end,4,3,1,5,W021
5414,Workstation,High-end,4,3,1,3,W023
5415,Workstation,High-end,3,2,3,5,W028
5416,Workstation,High-end,3,3,1,3,W029
5417,Workstation,High-end,4,4,1,5,W031
5418,Workstation,High-end,5,2,3,5,W035
5419,Workstation,High-end,4,4,2,4,W036
5420,Workstation,High-end,3,4,1,4,W040
5421,Workstation,High-end,3,3,3,4,W044
5422,Workstation,High-end,4,4,2,3,W046
5423,Workstation,High-end,4,4,3,3,W061
5424,Workstation,High-end,4,2,2,5,W064
5425,Workstation,High-end,5,2,1,4,W067
5426,Workstation,High-end,5,3,2,3,W069
5427,Workstation,High-end,4,3,3,4,W071
5428,Workstation,High-end,4,2,1,3,W081
5429,Workstation,High-end,4,4,1,4,W083
5430,Workstation,High-end,4,3,1,4,W088
5431,Workstation,High-end,3,3,1,5,W097
5432,Workstation,Mid-range,5,4,1,5,W001
5433,Workstation,Mid-range,5,4,1,5,W002
5434,Workstation,Mid-range,5,4,1,5,W003
5435,Workstation,Mid-range,5,4,1,5,W004
5436,Workstation,Mid-range,5,4,1,5,W005
5437,Workstation,Mid-range,5,4,1,5,W006
5438,Workstation,Mid-range,5,4,1,5,W007
5439,Workstation,Mid-range,5,4,1,5,W008
5440,Workstation,Mid-range,5,4,1,5,W009
5441,Workstation,Mid-range,5,4,1,5,W010
5442,Workstation,Mid-range,4,3,1,4,W022
5443,Workstation,Mid-range,4,4,1,4,W024
5444,Workstation,Mid-range,3,2,1,3,W025
5445,Workstation,Mid-range,5,2,3,5,W026
5446,Workstation,Mid-range,5,4,2,4,W027
5447,Workstation,Mid-range,5,3,3,4,W030
5448,Workstation,Mid-range,3,3,1,3,W032
5449,Workstation,Mid-range,3,4,1,5,W033
5450,Workstation,Mid-range,5,3,2,5,W034
5451,Workstation,Mid-range,5,4,3,4,W037
5452,Workstation,Mid-range,4,2,1,3,W038
5453,Workstation,Mid-range,3,3,3,4,W039
5454,Workstation,Mid-range,3,3,1,4,W041
5455,Workstation,Mid-range,5,2,2,4,W042
5456,Workstation,Mid-range,4,2,1,3,W043
5457,Workstation,Mid-range,3,4,2,3,W045
5458,Workstation,Mid-range,3,2,2,5,W047
5459,Workstation,Mid-range,3,2,2,3,W048
5460,Workstation,Mid-range,3,2,2,4,W049
5461,Workstation,Mid-range,3,3,1,4,W050
5462,Workstation,Mid-range,4,3,2,4,W051
5463,Workstation,Mid-range,3,4,2,5,W052
5464,Workstation,Mid-range,4,4,3,3,W053
5465,Workstation,Mid-range,4,4,1,5,W054
5466,Workstation,Mid-range,3,2,2,4,W055
5467,Workstation,Mid-range,5,4,1,5,W056
5468,Workstation,Mid-range,4,3,2,3,W057
5469,Workstation,Mid-range,4,4,3,4,W058
5470,Workstation,Mid-range,4,3,3,4,W059
5471,Workstation,Mid-range,5,3,3,5,W060
5472,Workstation,Mid-range,3,2,2,5,W062
5473,Workstation,Mid-range,3,3,1,5,W063
5474,Workstation,Mid-range,3,2,1,3,W065
5475,Workstation,Mid-range,3,4,3,5,W066
5476,Workstation,Mid-range,5,2,2,5,W068
5477,Workstation,Mid-range,4,2,2,3,W070
5478,Workstation,Mid-range,4,3,2,5,W072
5479,Workstation,Mid-range,5,2,1,3,W073
5480,Workstation,Mid-range,3,2,3,3,W074
5481,Workstation,Mid-range,4,2,2,4,W075
5482,Workstation,Mid-range,3,3,2,4,W076
5483,Workstation,Mid-range,4,2,2,5,W077
5484,Workstation,Mid-range,3,4,3,5,W078
5485,Workstation,Mid-range,5,4,2,5,W079
5486,Workstation,Mid-range,5,4,3,4,W080
5487,Workstation,Mid-range,4,4,2,3,W082
5488,Workstation,Mid-range,3,4,3,5,W084
5489,Workstation,Mid-range,5,3,3,3,W085
5490,Workstation,Mid-range,3,3,2,5,W086
5491,Workstation,Mid-range,3,3,1,5,W087
5492,Workstation,Mid-range,4,2,2,3,W089
5493,Workstation,Mid-range,5,3,3,5,W090
5494,Workstation,Mid-range,3,2,2,3,W091
5495,Workstation,Mid-range,5,4,2,5,W092
5496,Workstation,Mid-range,3,3,1,3,W093
5497,Workstation,Mid-range,4,2,2,4,W094
5498,Workstation,Mid-range,3,2,1,3,W095
5499,Workstation,Mid-range,4,3,1,3,W096
