id,name
5131,C072 Convertible High-end
5132,C074 Convertible High-end
5133,C075 Convertible High-end
5134,C079 Convertible High-end
5135,C085 Convertible High-end
5136,C090 Convertible High-end
5137,C091 Convertible High-end
5138,C001 Convertible Mid-range
5139,C002 Convertible Mid-range
5140,C003 Convertible Mid-range
5141,C004 Convertible Mid-range
5142,C005 Convertible Mid-range
5143,C006 Convertible Mid-range
5144,C007 Convertible Mid-range
5145,C008 Convertible Mid-range
5146,C009 Convertible Mid-range
5147,C010 Convertible Mid-range
5148,C022 Convertible Mid-range
5149,C024 Convertible Mid-range
5150,C030 Convertible Mid-range
5151,C031 Convertible Mid-range
5152,C032 Convertible Mid-range
5153,C033 Convertible Mid-range
5154,C034 Convertible Mid-range
5155,C035 Convertible Mid-range
5156,C036 Convertible Mid-range
5157,C038 Convertible Mid-range
5158,C039 Convertible Mid-range
5159,C040 Convertible Mid-range
5160,C041 Convertible Mid-range
5161,C043 Convertible Mid-range
5162,C044 Convertible Mid-range
5163,C045 Convertible Mid-range
5164,C046 Convertible Mid-range
5165,C047 Convertible Mid-range
5166,C049 Convertible Mid-range
5167,C050 Convertible Mid-range
5168,C051 Convertible Mid-range
5169,C054 Convertible Mid-range
5170,C055 Convertible Mid-range
5171,C057 Convertible Mid-range
5172,C061 Convertible Mid-range
5173,C062 Convertible Mid-range
5174,C063 Convertible Mid-range
5175,C064 Convertible Mid-range
5176,C066 Convertible Mid-range
5177,C067 Convertible Mid-range
5178,C068 Convertible Mid-range
5179,C069 Convertible Mid-range
5180,C071 Convertible Mid-range
5181,C073 Convertible Mid-range
5182,C076 Convertible Mid-range
5183,C077 Convertible Mid-range
5184,C078 Convertible Mid-range
5185,C080 Convertible Mid-range
5186,C081 Convertible Mid-range
5187,C082 Convertible Mid-range
5188,C083 Convertible Mid-range
5189,C084 Convertible Mid-range
5190,C086 Convertible Mid-range
5191,C087 Convertible Mid-range
5192,C088 Convertible Mid-range
5193,C089 Convertible Mid-range
5194,G011 Gaming High-end
5195,G012 Gaming High-end
5196,G013 Gaming High-end
5197,G014 Gaming High-end
5198,G015 Gaming High-end
5199,G016 Gaming High-end
5200,G017 Gaming High-end
5201,G018 Gaming High-end
5202,G019 Gaming High-end
5203,G020 Gaming High-end
5204,G022 Gaming High-end
5205,G031 Gaming High-end
5206,G039 Gaming High-end
5207,G045 Gaming High-end
5208,G047 Gaming High-end
5209,G050 Gaming High-end
5210,G052 Gaming High-end
5211,G056 Gaming High-end
5212,G062 Gaming High-end
5213,G073 Gaming High-end
5214,G079 Gaming High-end
5215,G080 Gaming High-end
5216,G085 Gaming High-end
5217,G087 Gaming High-end
5218,G089 Gaming High-end
5219,G090 Gaming High-end
5220,G093 Gaming High-end
5221,G096 Gaming High-end
5222,G097 Gaming High-end
5223,G102 Gaming High-end
5224,G001 Gaming Mid-range
5225,G002 Gaming Mid-range
5226,G003 Gaming Mid-range
5227,G004 Gaming Mid-range
5228,G005 Gaming Mid-range
5229,G006 Gaming Mid-range
5230,G007 Gaming Mid-range
5231,G008 Gaming Mid-range
5232,G009 Gaming Mid-range
5233,G010 Gaming Mid-range
5234,G021 Gaming Mid-range
5235,G023 Gaming Mid-range
5236,G024 Gaming Mid-range
5237,G025 Gaming Mid-range
5238,G026 Gaming Mid-range
5239,G027 Gaming Mid-range
5240,G028 Gaming Mid-range
5241,G029 Gaming Mid-range
5242,G030 Gaming Mid-range
5243,G032 Gaming Mid-range
5244,G033 Gaming Mid-range
5245,G034 Gaming Mid-range
5246,G035 Gaming Mid-range
5247,G036 Gaming Mid-range
5248,G037 Gaming Mid-range
5249,G038 Gaming Mid-range
5250,G040 Gaming Mid-range
5251,G041 Gaming Mid-range
5252,G042 Gaming Mid-range
5253,G043 Gaming Mid-range
5254,G044 Gaming Mid-range
5255,G046 Gaming Mid-range
5256,G048 Gaming Mid-range
5257,G049 Gaming Mid-range
5258,G051 Gaming Mid-range
5259,G053 Gaming Mid-range
5260,G054 Gaming Mid-range
5261,G055 Gaming Mid-range
5262,G057 Gaming Mid-range
5263,G058 Gaming Mid-range
5264,G059 Gaming Mid-range
5265,G060 Gaming Mid-range
5266,G061 Gaming Mid-range
5267,G063 Gaming Mid-range
5268,G064 Gaming Mid-range
5269,G065 Gaming Mid-range
5270,G066 Gaming Mid-range
5271,G067 Gaming Mid-range
5272,G068 Gaming Mid-range
5273,G069 Gaming Mid-range
5274,G070 Gaming Mid-range
5275,G071 Gaming Mid-range
5276,G072 Gaming Mid-range
5277,G074 Gaming Mid-range
5278,G075 Gaming Mid-range
5279,G076 Gaming Mid-range
5280,G077 Gaming Mid-range
5281,G078 Gaming Mid-range
5282,G081 Gaming Mid-range
5283,G082 Gaming Mid-range
5284,G083 Gaming Mid-range
5285,G084 Gaming Mid-range
5286,G086 Gaming Mid-range
5287,G088 Gaming Mid-range
5288,G091 Gaming Mid-range
5289,G092 Gaming Mid-range
5290,G094 Gaming Mid-range
5291,G095 Gaming Mid-range
5292,G098 Gaming Mid-range
5293,G099 Gaming Mid-range
5294,G100 Gaming Mid-range
5295,G101 Gaming Mid-range
5296,G103 Gaming Mid-range
5297,U011 Ultrabook High-end
5298,U012 Ultrabook High-end
5299,U013 Ultrabook High-end
5300,U014 Ultrabook High-end
5301,U015 Ultrabook High-end
5302,U016 Ultrabook High-end
5303,U017 Ultrabook High-end
5304,U018 Ultrabook High-end
5305,U019 Ultrabook High-end
5306,U020 Ultrabook High-end
5307,U026 Ultrabook High-end
5308,U030 Ultrabook High-end
5309,U032 Ultrabook High-end
5310,U036 Ultrabook High-end
5311,U037 Ultrabook High-end
5312,U039 Ultrabook High-end
5313,U045 Ultrabook High-end
5314,U048 Ultrabook High-end
5315,U049 Ultrabook High-end
5316,U051 Ultrabook High-end
5317,U059 Ultrabook High-end
5318,U060 Ultrabook High-end
5319,U061 Ultrabook High-end
5320,U065 Ultrabook High-end
5321,U069 Ultrabook High-end
5322,U071 Ultrabook High-end
5323,U075 Ultrabook High-end
5324,U077 Ultrabook High-end
5325,U081 Ultrabook High-end
5326,U084 Ultrabook High-end
5327,U086 Ultrabook High-end
5328,U088 Ultrabook High-end
5329,U094 Ultrabook High-end
5330,U097 Ultrabook High-end
5331,U098 Ultrabook High-end
5332,U099 Ultrabook High-end
5333,U100 Ultrabook High-end
5334,U103 Ultrabook High-end
5335,U001 Ultrabook Mid-range
5336,U002 Ultrabook Mid-range
5337,U003 Ultrabook Mid-range
5338,U004 Ultrabook Mid-range
5339,U005 Ultrabook Mid-range
5340,U006 Ultrabook Mid-range
5341,U007 Ultrabook Mid-range
5342,U008 Ultrabook Mid-range
5343,U009 Ultrabook Mid-range
5344,U010 Ultrabook Mid-range
5345,U021 Ultrabook Mid-range
5346,U022 Ultrabook Mid-range
5347,U023 Ultrabook Mid-range
5348,U024 Ultrabook Mid-range
5349,U025 Ultrabook Mid-range
5350,U027 Ultrabook Mid-range
5351,U028 Ultrabook Mid-range
5352,U029 Ultrabook Mid-range
5353,U031 Ultrabook Mid-range
5354,U033 Ultrabook Mid-range
5355,U034 Ultrabook Mid-range
5356,U035 Ultrabook Mid-range
5357,U038 Ultrabook Mid-range
5358,U040 Ultrabook Mid-range
5359,U041 Ultrabook Mid-range
5360,U042 Ultrabook Mid-range
5361,U043 Ultrabook Mid-range
5362,U044 Ultrabook Mid-range
5363,U046 Ultrabook Mid-range
5364,U047 Ultrabook Mid-range
5365,U050 Ultrabook Mid-range
5366,U052 Ultrabook Mid-range
5367,U053 Ultrabook Mid-range
5368,U054 Ultrabook Mid-range
5369,U055 Ultrabook Mid-range
5370,U056 Ultrabook Mid-range
5371,U057 Ultrabook Mid-range
5372,U058 Ultrabook Mid-range
5373,U062 Ultrabook Mid-range
5374,U063 Ultrabook Mid-range
5375,U064 Ultrabook Mid-range
5376,U066 Ultrabook Mid-range
5377,U067 Ultrabook Mid-range
5378,U068 Ultrabook Mid-range
5379,U070 Ultrabook Mid-range
5380,U072 Ultrabook Mid-range
5381,U073 Ultrabook Mid-range
5382,U074 Ultrabook Mid-range
5383,U076 Ultrabook Mid-range
5384,U078 Ultrabook Mid-range
5385,U079 Ultrabook Mid-range
5386,U080 Ultrabook Mid-range
5387,U082 Ultrabook Mid-range
5388,U083 Ultrabook Mid-range
5389,U085 Ultrabook Mid-range
5390,U087 Ultrabook Mid-range
5391,U089 Ultrabook Mid-range
5392,U090 Ultrabook Mid-range
5393,U091 Ultrabook Mid-range
5394,U092 Ultrabook Mid-range
5395,U093 Ultrabook Mid-range
5396,U095 Ultrabook Mid-range
5397,U096 Ultrabook Mid-range
5398,U101 Ultrabook Mid-range
5399,U102 Ultrabook Mid-range
5400,U104 Ultrabook Mid-range
5401,U105 Ultrabook Mid-range
5402,U106 Ultrabook Mid-range
5403,W011 Workstation High-end
5404,W012 Workstation High-end
5405,W013 Workstation High-end
5406,W014 Workstation High-end
5407,W015 Workstation High-end
5408,W016 Workstation High-end
5409,W017 Workstation High-end
5410,W018 Workstation High-end
5411,W019 Workstation High-end
5412,W020 Workstation High-end
5413,W021 Workstation High-end
5414,W023 Workstation High-end
5415,W028 Workstation High-end
5416,W029 Workstation High-end
5417,W031 Workstation High-end
5418,W035 Workstation High-end
5419,W036 Workstation High-end
5420,W040 Workstation High-end
5421,W044 Workstation High-end
5422,W046 Workstation High-end
5423,W061 Workstation High-end
5424,W064 Workstation High-end
5425,W067 Workstation High-end
5426,W069 Workstation High-end
5427,W071 Workstation High-end
5428,W081 Workstation High-end
5429,W083 Workstation High-end
5430,W088 Workstation High-end
5431,W097 Workstation High-end
5432,W001 Workstation Mid-range
5433,W002 Workstation Mid-range
5434,W003 Workstation Mid-range
5435,W004 Workstation Mid-range
5436,W005 Workstation Mid-range
5437,W006 Workstation Mid-range
5438,W007 Workstation Mid-range
5439,W008 Workstation Mid-range
5440,W009 Workstation Mid-range
5441,W010 Workstation Mid-range
5442,W022 Workstation Mid-range
5443,W024 Workstation Mid-range
5444,W025 Workstation Mid-range
5445,W026 Workstation Mid-range
5446,W027 Workstation Mid-range
5447,W030 Workstation Mid-range
5448,W032 Workstation Mid-range
5449,W033 Workstation Mid-range
5450,W034 Workstation Mid-range
5451,W037 Workstation Mid-range
5452,W038 Workstation Mid-range
5453,W039 Workstation Mid-range
5454,W041 Workstation Mid-range
5455,W042 Workstation Mid-range
5456,W043 Workstation Mid-range
5457,W045 Workstation Mid-range
5458,W047 Workstation Mid-range
5459,W048 Workstation Mid-range
5460,W049 Workstation Mid-range
5461,W050 Workstation Mid-range
5462,W051 Workstation Mid-range
5463,W052 Workstation Mid-range
5464,W053 Workstation Mid-range
5465,W054 Workstation Mid-range
5466,W055 Workstation Mid-range
5467,W056 Workstation Mid-range
5468,W057 Workstation Mid-range
5469,W058 Workstation Mid-range
5470,W059 Workstation Mid-range
5471,W060 Workstation Mid-range
5472,W062 Workstation Mid-range
5473,W063 Workstation Mid-range
5474,W065 Workstation Mid-range
5475,W066 Workstation Mid-range
5476,W068 Workstation Mid-range
5477,W070 Workstation Mid-range
5478,W072 Workstation Mid-range
5479,W073 Workstation Mid-range
5480,W074 Workstation Mid-range
5481,W075 Workstation Mid-range
5482,W076 Workstation Mid-range
5483,W077 Workstation Mid-range
5484,W078 Workstation Mid-range
5485,W079 Workstation Mid-range
5486,W080 Workstation Mid-range
5487,W082 Workstation Mid-range
5488,W084 Workstation Mid-range
5489,W085 Workstation Mid-range
5490,W086 Workstation Mid-range
5491,W087 Workstation Mid-range
5492,W089 Workstation Mid-range
5493,W090 Workstation Mid-range
5494,W091 Workstation Mid-range
5495,W092 Workstation Mid-range
5496,W093 Workstation Mid-range
5497,W094 Workstation Mid-range
5498,W095 Workstation Mid-range
5499,W096 Workstation Mid-range
