user_id,item_id,performance,value,portability,durability,overall_rating
1175,5182,2,4,5,3,4
1850,5227,5,5,2,3,4
1751,5353,5,4,3,4,4
1935,5185,4,3,4,2,3
350,5436,5,5,1,5,4
1429,5399,2,3,3,2,2
172,5379,3,3,4,4,4
1655,5084,3,4,5,4,4
1274,5034,2,5,4,4,4
945,5305,4,3,4,4,4
1015,5007,3,5,5,5,4
1052,5399,3,4,4,3,4
321,5458,3,2,2,5,3
364,5115,5,2,4,4,4
365,5057,2,5,3,4,4
1817,5068,2,5,5,5,4
166,5374,2,3,5,5,4
1700,5265,5,4,2,3,4
827,5254,5,5,1,3,4
1646,5414,4,3,2,4,3
843,5234,5,5,2,3,4
498,5074,2,5,4,3,4
966,5431,3,4,2,5,4
604,5386,3,5,3,4,4
1282,5250,5,5,2,3,4
1912,5155,4,2,5,4,4
1005,5358,4,4,3,3,4
1426,5068,2,5,5,4,4
1757,5109,4,3,5,4,4
1729,5351,3,3,3,3,3
213,5246,5,4,2,2,3
1779,5249,5,5,1,4,4
917,5090,1,4,5,3,3
981,5329,5,4,3,5,4
1160,5313,3,5,4,3,4
343,5406,5,3,2,5,4
260,5259,5,5,1,3,4
1936,5335,4,4,4,4,4
219,5251,5,5,2,4,4
243,5279,5,5,2,4,4
1132,5016,2,4,4,3,3
1974,5296,4,4,1,4,3
870,5368,4,2,4,2,3
1596,5385,2,4,4,5,4
1627,5201,5,5,4,5,5
1336,5483,4,3,2,5,4
1429,5229,5,5,2,3,4
373,5362,4,3,3,2,3
1430,5192,3,4,4,2,3
1525,5374,2,4,4,5,4
1507,5401,2,5,2,5,4
1120,5268,5,5,2,3,4
379,5308,4,4,4,4,4
640,5238,5,5,2,4,4
1893,5011,4,4,5,5,4
808,5339,3,5,5,4,4
1303,5256,5,5,2,3,4
1920,5008,3,4,3,4,4
1789,5198,5,5,3,5,4
291,5215,5,5,2,4,4
116,5170,3,3,4,3,3
1602,5223,5,5,2,3,4
716,5024,1,3,3,3,2
1909,5303,4,3,4,4,4
1886,5209,5,3,1,3,3
77,5073,3,5,5,3,4
1579,5333,3,4,4,5,4
780,5388,3,5,4,3,4
555,5299,4,4,4,4,4
1705,5351,3,3,3,4,3
332,5428,5,3,3,5,4
1489,5042,1,3,3,3,2
1416,5005,3,4,5,4,4
1975,5209,5,4,2,4,4
291,5214,5,5,3,5,4
20,5019,2,4,5,4,4
1886,5320,5,4,3,5,4
353,5251,5,5,1,4,4
696,5244,5,5,3,5,4
201,5272,5,5,2,3,4
315,5417,5,5,1,5,4
1355,5253,5,5,1,4,4
500,5345,3,3,3,4,3
1189,5286,5,3,2,3,3
1915,5048,1,4,4,4,3
1808,5068,2,5,5,5,4
837,5223,5,4,2,4,4
1603,5154,4,5,4,3,4
959,5405,5,4,2,5,4
1746,5420,5,5,2,5,4
106,5344,3,5,5,4,4
1120,5328,4,3,4,3,4
1747,5322,4,3,4,5,4
1850,5138,3,4,5,4,4
436,5045,2,5,5,2,4
1410,5346,4,4,2,2,3
855,5201,5,5,4,5,5
1172,5131,2,3,5,4,4
1368,5089,3,5,5,4,4
1457,5275,5,4,3,3,4
782,5177,3,3,5,2,3
289,5194,5,5,4,5,5
1374,5151,3,4,3,2,3
366,5299,5,3,4,5,4
208,5215,5,5,2,3,4
1298,5329,5,4,4,5,4
1801,5247,5,5,2,4,4
530,5010,2,4,4,4,4
864,5496,4,4,2,4,4
422,5165,4,3,5,2,4
1818,5386,3,4,3,4,4
1064,5408,5,4,2,5,4
1821,5233,5,5,2,4,4
346,5441,5,4,2,5,4
1784,5138,4,5,5,4,4
304,5210,5,3,2,2,3
854,5275,5,3,3,3,4
1165,5267,5,3,2,3,3
594,5307,4,5,4,3,4
1511,5264,5,5,2,3,4
1727,5223,5,5,2,4,4
1274,5391,4,4,4,4,4
679,5327,4,3,3,3,3
1165,5397,3,4,3,4,4
838,5023,2,3,3,3,3
1081,5212,5,5,4,4,4
467,5177,3,4,5,3,4
169,5164,4,5,5,2,4
1346,5383,4,4,4,3,4
1262,5353,4,5,3,4,4
217,5275,5,3,3,3,4
1538,5225,5,5,2,4,4
1239,5263,4,5,2,3,4
1605,5427,5,4,3,5,4
496,5179,4,4,4,4,4
1351,5036,3,5,4,3,4
802,5219,5,5,3,5,4
399,5454,3,3,1,4,3
997,5453,4,4,3,5,4
417,5032,3,5,4,3,4
737,5221,5,4,2,2,3
1589,5234,5,5,1,3,4
893,5495,5,4,2,5,4
523,5105,4,3,5,5,4
1291,5233,5,5,3,4,4
1938,5089,3,5,5,4,4
916,5339,4,5,5,4,4
869,5047,2,5,5,3,4
614,5032,3,5,4,3,4
799,5416,4,4,2,4,4
223,5288,5,5,1,3,4
354,5467,5,4,1,5,4
1891,5046,3,4,5,3,4
1158,5278,5,5,1,4,4
369,5397,3,4,4,3,4
223,5228,5,5,3,4,4
357,5251,5,5,1,4,4
415,5097,2,3,5,3,3
1088,5072,2,5,4,4,4
1974,5214,5,5,3,4,4
1006,5184,3,4,4,5,4
1048,5361,4,4,3,4,4
712,5015,2,5,5,4,4
1000,5232,5,5,3,3,4
1617,5132,3,3,4,3,3
1633,5468,4,3,3,3,3
1680,5086,2,3,4,1,2
1065,5205,4,5,2,4,4
1209,5209,5,4,2,5,4
1351,5094,2,4,5,4,4
1937,5213,5,5,4,5,5
718,5193,3,5,3,4,4
314,5443,5,5,2,5,4
1675,5482,3,4,2,4,3
364,5281,5,5,1,2,3
1522,5183,3,4,4,4,4
439,5173,3,2,4,4,3
1268,5077,3,5,5,4,4
1617,5402,4,5,3,4,4
1116,5299,4,3,5,4,4
1421,5086,3,4,5,3,4
679,5190,3,4,3,3,3
1634,5147,4,5,5,5,5
438,5031,3,5,4,3,4
1920,5365,4,4,3,2,3
1930,5137,4,4,4,4,4
1436,5102,4,5,5,4,4
448,5113,5,4,4,3,4
1158,5199,5,4,4,5,4
828,5466,4,4,3,5,4
1731,5262,5,4,2,5,4
501,5230,5,5,3,4,4
1650,5396,3,4,4,4,4
460,5100,1,5,4,3,3
835,5417,5,5,3,5,4
241,5219,5,5,3,5,4
210,5282,5,5,1,4,4
877,5249,4,4,2,4,4
1529,5245,5,5,2,5,4
1926,5336,4,5,5,4,4
374,5448,4,3,1,3,3
1065,5221,5,4,1,2,3
341,5405,5,4,2,5,4
392,5257,5,5,1,4,4
971,5224,5,5,3,4,4
462,5100,1,5,4,3,3
1054,5355,3,5,3,3,4
1476,5256,5,5,3,3,4
42,5071,3,4,5,4,4
803,5249,5,5,2,5,4
484,5047,2,5,5,4,4
1115,5098,3,5,4,2,4
337,5459,3,2,3,3,3
879,5429,5,5,2,5,4
357,5153,4,3,4,3,4
375,5205,4,5,1,3,3
866,5087,3,5,5,3,4
954,5021,3,3,5,4,4
1073,5442,4,3,1,4,3
366,5337,3,4,4,3,4
366,5219,5,5,3,4,4
752,5276,5,4,4,4,4
765,5096,2,5,5,3,4
1801,5201,5,5,4,5,5
312,5410,5,4,1,5,4
1127,5361,4,4,4,5,4
1609,5360,4,4,3,3,4
560,5466,4,4,2,5,4
658,5023,2,4,3,3,3
451,5039,3,5,4,4,4
765,5082,2,4,5,4,4
1683,5020,3,3,3,3,3
1325,5099,3,5,5,3,4
5,5400,5,5,3,5,4
1669,5372,4,2,3,5,4
1472,5070,4,4,5,3,4
1896,5255,5,5,2,4,4
1886,5052,3,4,4,4,4
1834,5170,4,3,4,4,4
1536,5170,2,3,4,3,3
758,5081,4,5,5,4,4
1288,5022,1,4,4,4,3
1564,5298,4,4,4,5,4
856,5015,3,5,5,4,4
1794,5378,3,4,4,2,3
372,5408,5,3,1,5,4
1370,5337,3,4,4,4,4
929,5118,3,4,5,3,4
1053,5035,2,5,5,3,4
942,5271,4,5,1,3,3
282,5219,5,5,3,5,4
1406,5263,5,4,2,3,4
881,5191,3,3,5,3,4
1968,5447,5,3,3,4,4
1703,5363,3,2,3,2,2
305,5441,5,4,1,5,4
1848,5276,5,5,3,4,4
395,5320,5,3,3,5,4
1761,5238,5,5,2,4,4
1513,5190,2,4,4,3,3
1921,5248,5,5,3,4,4
1547,5445,5,3,3,5,4
1624,5265,5,3,2,3,3
931,5351,3,2,2,3,2
769,5044,4,3,4,4,4
128,5317,4,5,5,4,4
1077,5217,5,4,3,4,4
1044,5072,1,5,4,4,4
1592,5188,2,3,5,4,4
506,5151,4,5,3,3,4
960,5203,5,5,4,5,5
125,5312,3,5,3,4,4
44,5375,3,3,4,3,3
214,5209,5,4,3,4,4
862,5009,3,5,4,5,4
371,5185,3,2,3,2,2
1075,5236,5,5,2,3,4
1470,5301,5,4,5,5,5
590,5046,4,4,5,3,4
1176,5073,3,5,5,3,4
1265,5384,4,3,2,4,3
1113,5141,4,4,5,5,4
229,5227,5,5,3,4,4
250,5210,5,5,2,4,4
130,5358,4,4,4,3,4
1341,5293,5,4,1,4,4
536,5014,1,5,3,2,3
1361,5113,4,4,5,3,4
1547,5035,2,5,3,3,3
209,5227,5,5,3,4,4
1087,5142,4,4,5,4,4
994,5365,4,4,2,3,3
866,5318,3,4,4,5,4
1547,5432,5,5,1,5,4
1229,5263,4,5,2,3,4
1096,5155,3,3,5,3,4
1005,5496,3,3,2,3,3
596,5159,4,4,4,3,4
1223,5072,2,5,3,4,4
1367,5333,3,4,4,5,4
1616,5373,3,3,3,4,3
1602,5429,4,4,1,5,4
1448,5147,4,5,5,4,4
385,5001,4,4,4,4,4
844,5274,4,4,1,4,3
510,5369,3,5,4,3,4
1765,5069,2,4,4,4,4
505,5037,3,5,4,3,4
835,5221,5,4,2,2,3
863,5064,2,3,4,4,3
1249,5065,3,5,5,2,4
1641,5482,3,3,2,4,3
783,5308,5,4,5,4,4
354,5354,4,3,2,4,3
1162,5337,4,4,5,4,4
841,5139,4,5,5,4,4
1438,5186,3,5,4,4,4
994,5289,4,4,2,4,4
383,5289,4,5,1,4,4
1976,5227,5,5,3,4,4
482,5053,2,5,4,4,4
1110,5247,5,5,2,4,4
853,5231,5,5,3,3,4
1555,5451,5,4,4,5,4
1692,5067,4,4,5,2,4
1433,5370,2,2,3,2,2
466,5153,4,3,4,4,4
989,5249,4,4,2,4,4
389,5207,5,4,1,5,4
119,5378,3,4,4,2,3
367,5174,3,4,5,4,4
1404,5149,5,4,5,4,4
803,5247,5,5,2,4,4
399,5319,3,4,4,5,4
1506,5099,3,5,5,4,4
924,5403,5,4,2,5,4
536,5337,4,5,4,4,4
334,5407,5,4,2,5,4
572,5081,4,5,4,4,4
937,5214,5,5,4,5,5
1168,5173,3,2,3,3,3
1454,5132,3,4,4,3,4
53,5351,4,3,4,3,4
1925,5397,2,5,4,5,4
957,5236,5,5,1,3,4
1104,5084,2,3,5,3,3
252,5258,5,5,2,3,4
951,5139,3,5,5,4,4
1165,5462,4,4,3,5,4
1206,5386,3,4,3,4,4
395,5376,2,3,2,4,3
348,5424,5,3,3,5,4
1702,5180,5,3,5,4,4
1007,5061,4,5,4,3,4
862,5368,5,3,4,3,4
483,5118,3,3,5,3,4
1411,5188,3,3,5,4,4
1145,5120,3,4,5,3,4
1741,5145,4,3,5,4,4
1325,5102,3,4,4,4,4
611,5346,5,5,3,3,4
902,5228,5,5,2,3,4
1664,5360,3,5,3,2,3
387,5090,1,4,4,3,3
398,5262,5,4,1,4,4
819,5064,2,4,5,5,4
302,5419,5,5,3,5,4
1501,5265,5,3,2,2,3
75,5049,2,4,4,3,3
1827,5204,5,5,3,3,4
293,5196,5,5,3,5,4
942,5404,5,4,1,5,4
792,5079,2,4,5,5,4
945,5045,1,5,5,2,3
171,5348,4,4,4,3,4
1361,5278,4,4,2,4,4
1403,5282,5,5,1,4,4
273,5223,5,5,3,4,4
516,5213,5,4,3,5,4
428,5180,4,3,5,4,4
1271,5201,5,5,3,5,4
530,5437,5,3,1,5,4
1115,5334,5,4,4,4,4
1569,5291,5,5,3,5,4
1911,5133,5,3,5,5,4
1895,5021,2,3,4,4,3
247,5261,5,3,1,2,3
1194,5120,4,4,5,2,4
1733,5478,5,4,3,5,4
1628,5445,5,2,4,5,4
112,5371,4,5,4,3,4
882,5182,2,5,5,4,4
1910,5097,2,3,5,2,3
1202,5036,3,5,5,3,4
1768,5288,5,4,1,3,3
1858,5430,5,5,2,5,4
834,5018,3,5,4,4,4
1509,5282,5,5,2,5,4
1131,5091,3,4,5,3,4
1882,5252,5,3,1,4,3
63,5027,1,4,3,2,2
1499,5139,4,4,5,4,4
631,5167,4,3,4,4,4
785,5227,5,5,4,4,4
369,5499,4,3,2,3,3
1320,5043,2,5,5,3,4
1044,5003,3,4,4,4,4
1309,5092,3,5,4,3,4
1338,5244,5,5,3,5,4
1545,5312,3,5,3,4,4
1437,5029,1,4,5,5,4
1433,5125,4,5,5,4,4
701,5045,2,4,5,3,4
713,5096,2,5,5,3,4
1420,5040,3,5,5,5,4
1496,5468,4,3,2,4,3
1704,5081,3,5,5,4,4
321,5209,4,4,2,3,3
1526,5184,4,4,4,4,4
1374,5417,5,5,2,5,4
988,5228,5,5,3,4,4
1334,5273,4,5,3,3,4
1312,5142,4,5,5,4,4
1605,5333,3,5,4,5,4
218,5267,5,4,3,2,4
100,5346,4,5,4,3,4
1083,5326,4,5,4,5,4
1453,5363,4,3,4,2,3
259,5258,5,5,1,3,4
1405,5200,5,5,3,4,4
1269,5457,3,5,3,3,4
1629,5144,4,5,5,4,4
1063,5219,5,5,3,4,4
1399,5250,5,5,2,3,4
84,5015,2,5,5,4,4
477,5150,4,4,5,5,4
1822,5048,2,4,5,4,4
1587,5424,4,3,3,5,4
1092,5398,4,5,3,3,4
891,5043,3,5,4,3,4
1063,5220,5,5,1,3,4
810,5205,5,5,3,4,4
922,5357,4,3,3,4,4
1928,5394,3,3,2,3,3
991,5488,4,4,3,5,4
1180,5386,4,4,4,5,4
1313,5194,5,5,4,5,5
1417,5087,2,5,5,2,4
880,5274,5,4,2,4,4
617,5252,5,4,1,4,4
1336,5490,4,3,3,5,4
1109,5268,5,5,3,2,4
750,5218,5,3,3,4,4
1428,5194,5,5,3,5,4
541,5156,3,4,5,3,4
195,5314,5,5,3,5,4
1961,5287,5,5,2,4,4
1307,5011,3,5,4,4,4
1564,5193,3,5,4,3,4
52,5008,4,5,5,5,5
1094,5390,3,5,4,4,4
1830,5190,3,4,4,3,4
1849,5336,3,5,4,4,4
1514,5396,2,5,4,5,4
1317,5249,5,4,2,4,4
1133,5188,2,4,5,4,4
1620,5481,5,2,3,4,4
299,5251,5,5,2,5,4
33,5072,2,5,4,4,4
1882,5271,5,5,2,3,4
968,5062,1,4,4,3,3
1865,5220,5,5,2,3,4
502,5038,3,5,4,4,4
5,5350,4,5,5,3,4
1432,5238,5,5,3,4,4
1336,5475,3,4,3,5,4
12,5056,3,5,4,3,4
98,5338,3,4,5,4,4
1960,5451,5,5,4,5,5
1859,5350,4,5,4,2,4
640,5267,5,4,2,2,3
1138,5469,4,4,3,4,4
1800,5305,5,4,4,5,4
1699,5345,2,3,2,4,3
717,5386,4,5,4,4,4
623,5266,5,4,3,3,4
326,5483,5,3,3,5,4
1739,5066,2,4,4,5,4
232,5270,5,4,2,4,4
449,5119,3,5,4,4,4
1946,5091,3,4,5,2,4
1799,5365,4,4,3,2,3
1269,5490,3,4,3,5,4
741,5039,3,5,5,3,4
1017,5182,2,5,5,3,4
357,5483,4,2,2,5,3
1198,5484,4,4,3,5,4
1482,5444,4,2,1,3,2
1924,5336,3,4,4,4,4
935,5362,4,4,3,2,3
1254,5467,5,5,2,5,4
1333,5429,5,5,3,5,4
1690,5259,5,4,2,3,4
475,5050,3,5,3,4,4
215,5254,5,5,2,3,4
955,5091,4,4,5,2,4
990,5217,5,5,2,4,4
1478,5254,5,5,2,3,4
750,5496,3,3,1,4,3
932,5204,5,5,3,3,4
170,5155,4,3,5,3,4
1528,5116,3,3,3,4,3
164,5317,5,4,4,4,4
1784,5118,2,2,5,3,3
866,5122,3,4,5,3,4
853,5221,5,4,2,3,4
1646,5472,3,2,2,5,3
1400,5246,5,4,1,3,3
1250,5150,3,3,4,4,4
1512,5248,5,5,3,3,4
637,5197,5,5,4,5,5
1577,5294,5,5,3,4,4
938,5178,4,3,3,2,3
850,5454,3,4,1,4,3
485,5153,5,3,5,5,4
1030,5451,5,4,3,4,4
1383,5278,4,4,1,5,4
30,5090,2,5,5,4,4
585,5365,4,5,3,3,4
263,5281,5,5,1,3,4
384,5377,4,2,2,3,3
371,5170,3,3,4,3,3
1126,5009,3,3,5,4,4
1945,5233,5,5,3,4,4
803,5295,5,5,3,3,4
934,5045,1,5,5,3,4
273,5237,5,4,2,5,4
725,5150,4,4,4,4,4
1194,5140,4,5,5,4,4
1405,5467,5,5,2,5,4
78,5026,3,5,5,3,4
1206,5253,5,5,2,3,4
1370,5121,3,3,5,5,4
1739,5072,3,5,4,4,4
1181,5319,3,5,5,5,4
428,5035,3,5,5,4,4
21,5097,1,4,5,2,3
1128,5285,5,5,2,4,4
93,5024,2,4,4,5,4
1411,5093,3,3,4,5,4
1667,5244,5,5,2,4,4
1175,5378,2,4,4,2,3
375,5027,2,5,3,2,3
1188,5301,4,3,4,5,4
1811,5080,3,5,4,3,4
1354,5373,2,2,2,4,2
1670,5370,2,3,4,3,3
809,5003,4,5,5,4,4
1376,5162,2,3,5,2,3
396,5484,4,4,3,5,4
249,5256,5,5,3,3,4
435,5086,3,3,5,3,4
1752,5045,2,5,5,3,4
124,5156,2,3,5,2,3
1144,5442,5,4,2,5,4
431,5120,3,4,4,4,4
453,5187,4,3,4,3,4
25,5049,2,4,4,2,3
542,5226,5,5,2,3,4
1080,5202,5,5,4,5,5
239,5264,5,5,2,4,4
1647,5102,4,4,5,4,4
1468,5286,5,4,2,2,3
357,5044,3,3,4,4,4
1177,5260,5,5,2,5,4
354,5212,4,4,2,2,3
1916,5238,5,5,2,5,4
1204,5387,5,3,3,4,4
1143,5373,2,3,3,3,3
1679,5180,4,2,5,3,4
555,5325,4,5,3,4,4
320,5436,5,4,1,5,4
1763,5128,4,3,5,3,4
1213,5134,3,4,5,3,4
1192,5330,2,4,3,5,4
1148,5422,5,5,4,5,5
246,5236,5,5,2,3,4
1290,5147,4,5,5,5,5
1673,5293,5,4,1,4,4
616,5138,3,4,5,4,4
40,5380,5,5,3,3,4
1468,5274,5,4,1,4,4
434,5121,2,4,5,4,4
721,5215,5,5,2,3,4
116,5140,3,4,5,4,4
1711,5158,3,3,4,4,4
1405,5472,3,3,3,5,4
685,5458,4,3,3,5,4
524,5277,5,3,3,3,4
1887,5310,4,5,4,3,4
398,5450,5,3,2,5,4
1301,5367,4,3,4,4,4
1136,5486,5,4,4,5,4
579,5208,5,4,2,5,4
486,5135,3,4,4,3,4
262,5230,5,5,3,3,4
938,5405,5,3,1,5,4
186,5340,4,4,4,3,4
1238,5386,4,5,4,5,4
436,5109,5,4,5,4,4
773,5236,5,5,2,3,4
288,5275,5,4,2,3,4
1641,5428,5,3,1,5,4
1356,5125,5,4,4,3,4
1352,5178,4,4,4,3,4
743,5260,5,4,1,4,4
1756,5021,3,3,4,4,4
1620,5199,5,5,3,5,4
834,5067,4,5,5,3,4
1362,5400,4,4,4,4,4
313,5492,5,3,2,4,4
1451,5347,2,4,4,5,4
406,5114,3,4,5,3,4
526,5213,5,5,4,5,5
699,5153,5,2,5,4,4
503,5210,5,4,1,2,3
1975,5275,5,3,3,2,3
1417,5089,3,5,5,4,4
861,5340,3,5,5,4,4
491,5078,4,5,4,5,4
388,5246,5,4,2,2,3
1072,5230,5,5,2,3,4
1285,5373,2,3,3,3,3
1551,5021,2,3,4,4,3
667,5192,3,3,5,3,4
1126,5447,5,4,3,5,4
1629,5059,2,5,4,4,4
1456,5465,5,5,2,5,4
902,5369,2,3,3,3,3
799,5422,5,5,3,4,4
1334,5097,1,3,5,2,3
367,5285,4,5,1,4,4
400,5084,4,4,5,4,4
1862,5459,4,3,3,4,4
856,5390,2,4,3,4,3
1992,5428,5,3,2,4,4
1868,5066,2,4,4,4,4
483,5152,4,4,3,4,4
552,5351,3,2,2,3,2
1802,5261,4,3,1,2,2
856,5102,3,4,4,3,4
1807,5448,4,4,2,4,4
772,5068,2,5,5,4,4
827,5294,4,5,3,3,4
1221,5289,5,5,2,3,4
807,5198,5,5,3,5,4
830,5085,1,4,4,1,2
1611,5244,5,5,3,4,4
1222,5037,3,5,5,3,4
235,5230,5,5,3,4,4
1729,5073,3,5,4,3,4
1350,5003,3,4,4,4,4
305,5477,4,2,2,3,3
1207,5201,5,5,3,5,4
1211,5451,5,5,4,5,5
554,5007,3,4,4,4,4
240,5245,5,5,1,5,4
1071,5115,4,2,4,3,3
364,5071,2,4,4,4,4
412,5108,4,3,5,4,4
1873,5160,4,4,5,3,4
391,5138,3,4,5,4,4
463,5121,2,4,5,4,4
1662,5078,4,4,4,5,4
1012,5024,2,4,4,4,4
633,5322,3,3,5,4,4
422,5177,3,4,5,4,4
1987,5273,5,5,2,4,4
1332,5335,4,5,5,3,4
1138,5461,3,4,2,5,4
1832,5255,5,5,2,2,4
550,5059,2,5,5,5,4
1923,5348,5,4,3,3,4
66,5002,3,4,4,4,4
552,5307,4,4,4,3,4
50,5388,2,5,4,3,4
672,5308,5,4,4,5,4
1217,5371,4,5,3,3,4
952,5295,5,5,2,2,4
380,5359,4,2,3,3,3
515,5162,2,2,5,2,3
1597,5087,2,5,5,3,4
274,5294,5,5,3,4,4
965,5465,5,5,2,5,4
715,5212,4,3,2,2,3
979,5270,5,5,3,5,4
1360,5006,4,5,4,3,4
1553,5071,3,4,5,4,4
30,5098,3,5,4,3,4
1559,5218,5,3,3,5,4
1559,5224,5,5,2,3,4
1167,5185,4,3,4,3,4
1452,5187,2,2,4,3,3
1366,5153,4,3,4,4,4
1185,5181,2,5,4,4,4
926,5297,5,4,5,5,5
969,5266,5,4,3,2,4
1509,5217,5,5,3,4,4
646,5355,3,5,3,2,3
41,5034,3,5,5,3,4
1311,5346,5,4,3,3,4
1410,5426,5,4,3,4,4
892,5262,5,5,2,5,4
1438,5181,3,5,4,5,4
496,5071,3,5,5,5,4
1710,5365,4,3,3,2,3
1863,5395,3,3,4,4,4
280,5280,5,4,2,4,4
1276,5417,5,5,2,5,4
47,5344,3,5,5,4,4
818,5331,5,5,4,4,4
1675,5375,3,4,3,3,3
134,5143,3,4,5,4,4
1988,5124,4,4,5,3,4
645,5317,5,5,4,4,4
1147,5287,5,5,2,4,4
442,5155,4,3,5,3,4
1736,5345,3,3,3,5,4
1982,5239,5,4,2,5,4
1432,5239,5,5,2,5,4
644,5251,5,5,2,4,4
1794,5314,5,4,4,5,4
1268,5399,3,4,4,2,3
983,5352,4,4,4,2,4
1073,5149,4,5,5,4,4
245,5226,5,5,3,4,4
1428,5203,5,5,3,5,4
1766,5014,1,5,3,2,3
605,5492,4,2,2,4,3
1677,5155,4,3,5,3,4
1814,5082,2,4,5,5,4
1005,5464,4,4,4,4,4
1456,5088,4,3,5,3,4
776,5323,5,3,4,3,4
1121,5201,5,5,3,5,4
1423,5243,5,4,3,3,4
1975,5224,5,5,3,3,4
460,5039,3,5,5,4,4
1898,5272,5,5,2,3,4
1131,5192,4,4,5,3,4
1242,5052,3,4,5,4,4
212,5195,5,5,3,5,4
1242,5061,4,5,4,3,4
413,5148,5,4,5,3,4
1406,5250,5,5,2,3,4
713,5183,2,4,4,4,4
986,5252,5,4,2,4,4
1200,5400,5,4,3,5,4
1435,5153,4,3,5,4,4
857,5302,5,4,4,4,4
701,5169,4,4,4,3,4
1879,5213,5,5,4,5,5
1108,5244,5,5,3,4,4
378,5336,3,4,4,3,4
1603,5086,3,3,5,3,4
1723,5194,5,4,3,5,4
1240,5032,3,5,5,4,4
1318,5418,5,4,4,5,4
1325,5046,4,4,5,2,4
872,5297,4,4,5,5,4
1883,5095,4,5,5,3,4
1482,5396,2,3,3,3,3
586,5125,5,4,5,3,4
664,5243,5,4,2,3,4
506,5139,3,4,5,5,4
912,5087,3,5,5,3,4
394,5205,5,5,2,4,4
1372,5192,3,4,5,3,4
1956,5379,4,2,3,4,3
302,5444,4,3,2,5,4
1654,5221,5,4,3,4,4
634,5199,5,5,3,5,4
1144,5483,5,3,4,5,4
1835,5078,4,5,4,5,4
1370,5408,5,4,2,5,4
1334,5276,4,5,3,4,4
1930,5098,3,5,4,3,4
770,5353,4,5,2,4,4
352,5112,4,3,5,4,4
371,5334,4,4,4,4,4
9,5102,4,5,4,4,4
357,5410,5,3,2,5,4
962,5084,3,4,5,4,4
1557,5146,3,5,5,4,4
586,5161,3,4,4,4,4
1703,5170,3,3,4,3,3
1849,5003,3,4,4,4,4
1979,5263,5,4,1,2,3
1558,5216,5,5,2,4,4
1718,5496,4,3,1,4,3
1655,5045,2,5,5,3,4
922,5077,3,5,5,5,4
1286,5166,2,4,5,3,4
1899,5359,4,3,3,4,4
426,5055,1,4,4,5,4
417,5144,4,5,5,5,5
352,5227,5,5,3,3,4
703,5076,2,5,4,4,4
736,5273,4,5,3,4,4
